0.0001000000000000, 20107.5753969499492086
10000000.0000999998301268, 20046.9629010748212750
20000000.0001000016927719, 19866.5085145391203696
30000000.0001000016927719, 19570.2974831897117838
40000000.0001000016927719, 19164.9299297479374218
50000000.0001000016927719, 18659.2245137920035631
60000000.0001000016927719, 18063.8348309234679618
70000000.0001000016927719, 17390.8056741487853287
80000000.0001000016927719, 16653.0988058462244226
90000000.0001000016927719, 15864.1175808647258236
100000000.0001000016927719, 15037.2569336504238890
110000000.0001000016927719, 14185.5004805728658539
120000000.0001000016927719, 13321.0805323220029095
130000000.0001000016927719, 12455.2104281930332945
140000000.0001000165939331, 11597.8924821477776277
150000000.0001000165939331, 10757.7995019996778865
160000000.0001000165939331, 9942.2236477915066644
170000000.0001000165939331, 9157.0834802138178929
180000000.0001000165939331, 8406.9783952265443077
190000000.0001000165939331, 7695.2791040274269108
200000000.0001000165939331, 7024.2431800539325195
210000000.0001000165939331, 6395.1457080881737056
220000000.0001000165939331, 5808.4164911196094181
230000000.0001000165939331, 5263.7768843244448362
240000000.0001000165939331, 4760.3709612333968835
250000000.0001000165939331, 4296.8872509981865733
260000000.0001000165939331, 3871.6686384983886455
270000000.0001000165939331, 3482.8091499229826695
280000000.0001000165939331, 3128.2372442693181256
290000000.0001000165939331, 2805.7859059172037632
300000000.0001000165939331, 2513.2503084076438427
310000000.0001000165939331, 2248.4341251083633324
320000000.0001000165939331, 2009.1857310932753080
330000000.0001000165939331, 1793.4256036863689587
340000000.0001000165939331, 1599.1662149704732201
350000000.0001000165939331, 1424.5256422094780646
360000000.0001000165939331, 1267.7360211664622511
370000000.0001000165939331, 1127.1478479877437167
380000000.0001000165939331, 1001.2310090560768003
390000000.0001000165939331, 888.5732930906857518
400000000.0001000165939331, 787.8770212010939531
410000000.0001000165939331, 697.9543219003244303
420000000.0001000165939331, 617.7214809871546777
430000000.0001000165939331, 546.1927113111902372
440000000.0001000165939331, 482.4736145499320514
450000000.0001000165939331, 425.7545455561354402
460000000.0001000165939331, 375.3040385824465375
470000000.0001000165939331, 330.4624126197894043
480000000.0001000165939331, 290.6356390182642713
490000000.0001000165939331, 255.2895273506484841
500000000.0001000165939331, 223.9442640611540867
510000000.0001000165939331, 196.1693218500029445
520000000.0001000165939331, 171.5787451238038557
530000000.0001000165939331, 149.8268074511877330
540000000.0001000165939331, 130.6040301701926012
550000000.0001000165939331, 113.6335465648730292
560000000.0001000165939331, 98.6677929197548025
570000000.0001000165939331, 85.4855059063336000
580000000.0001000165939331, 73.8890048579486489
590000000.0001000165939331, 63.7017373074973392
600000000.0001000165939331, 54.7660665045275152
610000000.0001000165939331, 46.9412803421821110
620000000.0001000165939331, 40.1018020913656130
630000000.0001000165939331, 34.1355844673199869
640000000.0001000165939331, 28.9426697722800697
650000000.0001000165939331, 24.4339001142833929
660000000.0001000165939331, 20.5297629576538760
670000000.0001000165939331, 17.1593584871354530
680000000.0001000165939331, 14.2594764458115488
690000000.0001000165939331, 11.7737712238905718
700000000.0001000165939331, 9.6520250234472069
710000000.0001000165939331, 7.8494898992649853
720000000.0001000165939331, 6.3263003768601545
730000000.0001000165939331, 5.0469491764400747
740000000.0001000165939331, 3.9798193282547172
750000000.0001000165939331, 3.0967666538029568
760000000.0001000165939331, 2.3727472125423898
770000000.0001000165939331, 1.7854848793493530
780000000.0001000165939331, 1.3151747283666355
790000000.0001000165939331, 0.9442183584432129
800000000.0001000165939331, 0.6569877083970674
810000000.0001000165939331, 0.4396142809323250
820000000.0001000165939331, 0.2798010261124377
830000000.0001000165939331, 0.1666544324817159
